record_timestamp,01.csvCHW.FLOW,01.csvCHWR.TEMP.1,01.csvCHWS.TEMP.1,01.csvCWR.TEMP.1,01.csvCWS.TEMP.1,01CoolingLoad,01cop
2019-09-30 17:40:00+00:00,93.8749,11.7224,6.99995,27.0437,29.6639,1861.94199,7.99116734
2019-09-30 17:45:00+00:00,89.7692,11.7624,6.93995,26.9637,29.4639,1818.21141,8.04518323
2019-09-30 17:50:00+00:00,77.8777,11.6024,7.11996,27.0037,29.0438,1466.144894,7.22238864
2019-09-30 17:55:00+00:00,77.9332,11.7624,7.01995,26.7236,28.8238,1552.296078,7.499014871
2019-09-30 18:00:00+00:00,73.846,11.8025,6.93995,26.7036,28.7838,1508.135443,7.466017043
2019-09-30 18:05:00+00:00,99.3676,11.9825,7.82002,26.7436,29.0438,1737.18572,8.515616275
2019-09-30 18:10:00+00:00,99.0162,12.2825,6.89995,26.4236,29.5439,2238.430519,8.47890348
2019-09-30 18:15:00+00:00,82.0203,12.1225,6.95995,27.0837,29.5439,1778.422379,8.083738086
2019-09-30 18:20:00+00:00,77.5448,11.9625,7.05996,27.2837,29.5239,1596.699232,7.567294938
2019-09-30 18:25:00+00:00,76.1392,11.6624,7.29998,27.2437,29.1038,1395.034909,7.460079728
2019-09-30 18:30:00+00:00,75.7324,11.7624,7.25998,27.2237,29.1638,1432.112104,7.306694409
2019-09-30 18:35:00+00:00,80.3374,11.6624,7.15997,27.1037,29.2438,1519.196784,7.30383069
2019-09-30 18:40:00+00:00,84.6279,11.4824,7.09996,27.0437,29.2438,1557.682115,7.417533882
2019-09-30 18:45:00+00:00,87.1431,11.3224,7.15997,27.0637,29.1638,1523.453626,7.541849632
2019-09-30 18:50:00+00:00,73.4207,11.2824,7.01995,27.0437,28.8638,1314.398663,7.182506357
2019-09-30 18:55:00+00:00,89.4364,11.1424,6.63993,26.9637,29.2238,1691.275773,7.977715911
2019-09-30 19:00:00+00:00,73.4022,10.7024,6.43991,26.7236,28.6838,1314.079803,6.879998967
